#YYYYMMDD,hour,TDays,Precip_mm_Value,PressureSeaLevel,Temp,HumidityRelative,Clouds8th,WindDirection,WindSpeed_ms
*
19900413,13,102.5416667,,1008.900024,10.69999981,26,5,220,2.599999905
19900413,19,102.7916667,0,1009.599976,9.199999809,45,6,210,2.599999905
19900414,7,103.2916667,0.1,1008.900024,5.900000095,85,8,90,1
19900414,13,103.5416667,,1004.599976,9.699999809,59,8,160,3.099999905
19900414,19,103.7916667,3.7,1000.700012,8.899999619,85,8,160,3.599999905
19900415,7,104.2916667,5.1,1001,3.400000095,96,8,150,1.5
19900415,13,104.5416667,,1001.700012,7.099999905,50,7,190,3.599999905
19900415,19,104.7916667,0.1,1001.200012,8.100000381,35,5,130,3.099999905
19900416,7,105.2916667,1,996.7000122,3.099999905,92,8,20,3.099999905
19900416,13,105.5416667,,996.2999878,5.099999905,82,8,10,2.599999905
19900416,19,105.7916667,2.8,1002,5,66,4,260,1
19900417,7,106.2916667,0,1009,0.5,88,1,60,1.5
19900417,13,106.5416667,,1009.900024,6.900000095,56,7,220,4.099999905
19900417,19,106.7916667,0.7,1012,3.299999952,90,8,250,1.5
19900418,7,107.2916667,4.1,1014.299988,2.200000048,93,8,60,1.5
19900418,13,107.5416667,,1016.5,3.200000048,97,7,220,2.099999905
19900418,19,107.7916667,5.8,1017.599976,6.199999809,60,6,190,5.099999905
19900419,7,108.2916667,0.6,1021.099976,3.5,70,1,40,2.099999905
19900419,13,108.5416667,,1020.599976,9.899999619,32,6,80,3.599999905
19900419,19,108.7916667,0,1023.099976,11.60000038,31,4,60,4.599999905
19900420,7,109.2916667,0,1029.699951,6.699999809,45,8,40,8.199999809
19900420,13,109.5416667,,1029.599976,7.300000191,63,8,40,6.699999809
19900420,19,109.7916667,0.6,1029.599976,9.300000191,49,8,20,4.599999905
19900421,7,110.2916667,0,1029.900024,9.199999809,32,7,50,6.199999809
19900421,13,110.5416667,,1028.300049,11.30000019,43,6,40,4.599999905
19900421,19,110.7916667,0,1024.800049,12.89999962,54,5,40,3.599999905
19900422,7,111.2916667,0,1022.599976,9.100000381,77,4,70,3.099999905
19900422,13,111.5416667,,1022.799988,14.89999962,46,4,150,1.5
19900422,19,111.7916667,0,1020.400024,13.80000019,38,6,350,2.599999905
19900423,7,112.2916667,0,1022.099976,5.699999809,86,3,190,0.5
19900423,13,112.5416667,,1019.900024,16.29999924,27,2,220,2.599999905
